pipeline,type,total,passed,pass_rate_pct
qwen25_3b + bge_m3,an_toan,6,5,83.33
qwen25_3b + bge_m3,cach_dung,6,6,100.0
qwen25_3b + bge_m3,gia,6,6,100.0
qwen25_3b + bge_m3,goi_y_san_pham,6,4,66.67
qwen25_3b + bge_m3,thanh_phan,6,5,83.33
qwen25_3b + multilingual_e5_base,an_toan,6,5,83.33
qwen25_3b + multilingual_e5_base,cach_dung,6,6,100.0
qwen25_3b + multilingual_e5_base,gia,6,5,83.33
qwen25_3b + multilingual_e5_base,goi_y_san_pham,6,0,0.0
qwen25_3b + multilingual_e5_base,thanh_phan,6,4,66.67
qwen25_3b + sup_simcse,an_toan,6,0,0.0
qwen25_3b + sup_simcse,cach_dung,6,1,16.67
qwen25_3b + sup_simcse,gia,6,2,33.33
qwen25_3b + sup_simcse,goi_y_san_pham,6,0,0.0
qwen25_3b + sup_simcse,thanh_phan,6,1,16.67
qwen25_3b + vietnamese_bi_encoder,an_toan,6,2,33.33
qwen25_3b + vietnamese_bi_encoder,cach_dung,6,2,33.33
qwen25_3b + vietnamese_bi_encoder,gia,6,4,66.67
qwen25_3b + vietnamese_bi_encoder,goi_y_san_pham,6,0,0.0
qwen25_3b + vietnamese_bi_encoder,thanh_phan,6,3,50.0
qwen3_4b + bge_m3,an_toan,6,6,100.0
qwen3_4b + bge_m3,cach_dung,6,6,100.0
qwen3_4b + bge_m3,gia,6,6,100.0
qwen3_4b + bge_m3,goi_y_san_pham,6,4,66.67
qwen3_4b + bge_m3,thanh_phan,6,6,100.0
qwen3_4b + multilingual_e5_base,an_toan,6,5,83.33
qwen3_4b + multilingual_e5_base,cach_dung,6,6,100.0
qwen3_4b + multilingual_e5_base,gia,6,5,83.33
qwen3_4b + multilingual_e5_base,goi_y_san_pham,6,1,16.67
qwen3_4b + multilingual_e5_base,thanh_phan,6,5,83.33
qwen3_4b + sup_simcse,an_toan,6,0,0.0
qwen3_4b + sup_simcse,cach_dung,6,1,16.67
qwen3_4b + sup_simcse,gia,6,2,33.33
qwen3_4b + sup_simcse,goi_y_san_pham,6,0,0.0
qwen3_4b + sup_simcse,thanh_phan,6,1,16.67
qwen3_4b + vietnamese_bi_encoder,an_toan,6,2,33.33
qwen3_4b + vietnamese_bi_encoder,cach_dung,6,2,33.33
qwen3_4b + vietnamese_bi_encoder,gia,6,4,66.67
qwen3_4b + vietnamese_bi_encoder,goi_y_san_pham,6,0,0.0
qwen3_4b + vietnamese_bi_encoder,thanh_phan,6,4,66.67
